,ID,Species,Temperature Range
239,A0A7W3B187,Klebsiella sp.,<40
234,A0A7W3B187,Klebsiella sp.,<40
282,A0A172ZEK7,Paenibacillus bovis,<40
232,A0A7W3B187,Klebsiella sp.,<40
237,A0A7W3B187,Klebsiella sp.,<40
235,A0A7W3B187,Klebsiella sp.,<40
238,A0A7W3B187,Klebsiella sp.,<40
231,A0A5R9LMT8,Klebsiella indica,<40
227,A0A5R9LMT8,Klebsiella indica,<40
229,A0A5R9LMT8,Klebsiella indica,<40
230,A0A5R9LMT8,Klebsiella indica,<40
233,A0A7W3B187,Klebsiella sp.,<40
228,A0A5R9LMT8,Klebsiella indica,<40
285,A0A172ZEK7,Paenibacillus bovis,<40
281,A0A172ZEK7,Paenibacillus bovis,<40
300,A0A1E3L5T1,Paenibacillus nuruki,<40
299,A0A1E3KX41,Paenibacillus nuruki,<40
310,A0A1E3L808,Paenibacillus nuruki,<40
308,A0A1E3L808,Paenibacillus nuruki,<40
303,A0A1E3L5T1,Paenibacillus nuruki,<40
314,A0A1E3L808,Paenibacillus nuruki,<40
302,A0A1E3L5T1,Paenibacillus nuruki,<40
277,A0A172ZEK7,Paenibacillus bovis,<40
313,A0A1E3L808,Paenibacillus nuruki,<40
429,A0A7X2H4P4,Paenibacillus monticola,<40
428,A0A7X2H4P4,Paenibacillus monticola,<40
398,A0A3Q9I8E8,Paenibacillus lutimineralis,<40
402,A0A3Q9I9A4,Paenibacillus lutimineralis,<40
269,A0A167B7D7,Paenibacillus crassostreae,<40
271,A0A167B7D7,Paenibacillus crassostreae,<40
278,A0A172ZEK7,Paenibacillus bovis,<40
311,A0A1E3L808,Paenibacillus nuruki,<40
35,O66065,Fibrobacter succinogenes,<40
31,O66065,Fibrobacter succinogenes,<40
38,O66065,Fibrobacter succinogenes,<40
59,A0A0A0PHP9,Bacillus licheniformis,<40
124,Q7X3S6,Bacillus licheniformis,<40
112,A0A3G1GM07,Bacillus licheniformis,<40
111,A0A3G1GM07,Bacillus licheniformis,<40
8,P00780,Bacillus licheniformis,<40
58,A0A0A0PHP9,Bacillus licheniformis,<40
18,P00781,Bacillus licheniformis,<40
470,Q5YEX6,Bacillus sp.,<40
4,P00780,Bacillus licheniformis,<40
19,P00781,Bacillus licheniformis,<40
1,P00780,Bacillus licheniformis,<40
5,P00780,Bacillus licheniformis,<40
488,Q9K5F4,Bacillus licheniformis,<40
141,A0A0J6EJ48,Bacillus glycinifermentans,<40
140,A0A0J6EJ48,Bacillus glycinifermentans,<40
65,A0A0A0RGT3,Bacillus amyloliquefaciens,<40
15,P00781,Bacillus licheniformis,<40
472,A0A649ZV21,Bacillus sp.,<40
474,A0A649ZV21,Bacillus sp.,<40
473,A0A649ZV21,Bacillus sp.,<40
34,O66065,Fibrobacter succinogenes,<40
36,O66065,Fibrobacter succinogenes,<40
467,E2FZU3,Trichoderma longibrachiatum,<40
584,Q5B7U2,Emericella nidulans,<40
581,Q5B7U2,Emericella nidulans,<40
583,Q5B7U2,Emericella nidulans,<40
79,B9W8X7,Candida dubliniensis,<40
78,B9W8X7,Candida dubliniensis,<40
479,A0A0G8C1Q8,Bacillus wiedmannii,<40
478,A0A0G8C1Q8,Bacillus wiedmannii,<40
477,A0A0G8C1Q8,Bacillus wiedmannii,<40
211,Q93R81,Bacillus sp.,<40
148,A0A2M8T350,Bacillus sp.,<40
108,P29019,Bacillus sp.,<40
102,P29019,Bacillus sp.,<40
110,P29019,Bacillus sp.,<40
167,A0A7G7U8F5,Bacillus sp.,<40
552,A0A5M3YZT2,Aspergillus terreus,<40
466,E2FZU3,Trichoderma longibrachiatum,<40
