,ID,Species,Temperature Range
267,A0A165PWQ8,Paenibacillus elgii,[60-65)
224,A0A2S5D2W9,Lysinibacillus sphaericus,[60-65)
121,D1L8C9,Bacillus pumilus,[60-65)
216,A0A2S0JX80,Lysinibacillus sphaericus,[60-65)
145,A0A2M8T350,Bacillus sp.,[60-65)
264,A0A165PWQ8,Paenibacillus elgii,[60-65)
169,A0A7G7U8F5,Bacillus sp.,[55-60)
155,A0A6I7F9R8,Bacillus sp.,[55-60)
171,A0A7G7U8F5,Bacillus sp.,[55-60)
143,A0A2M8T350,Bacillus sp.,[55-60)
149,A0A2M8T350,Bacillus sp.,[55-60)
215,G3M0R7,Bacillus sp.,[55-60)
173,A0A7Y8V0X1,Bacillus sp.,[55-60)
210,Q93R81,Bacillus sp.,[55-60)
176,A0A7Y8V0X1,Bacillus sp.,[55-60)
160,A0A6I7F9R8,Bacillus sp.,[55-60)
164,A0A7G7U8F5,Bacillus sp.,[55-60)
151,A0A2M8T350,Bacillus sp.,[55-60)
197,Q59232,Bacillus sp.,[55-60)
196,Q59232,Bacillus sp.,[55-60)
180,A0A7Y8V0X1,Bacillus sp.,[55-60)
209,Q93R81,Bacillus sp.,[55-60)
179,A0A7Y8V0X1,Bacillus sp.,[55-60)
168,A0A7G7U8F5,Bacillus sp.,[55-60)
101,P06566,Evansella cellulosilytica,[55-60)
153,A0A6I7F9R8,Bacillus sp.,[55-60)
279,A0A172ZEK7,Paenibacillus bovis,[55-60)
270,A0A167B7D7,Paenibacillus crassostreae,[55-60)
272,A0A167B7D7,Paenibacillus crassostreae,[55-60)
265,A0A165PWQ8,Paenibacillus elgii,[55-60)
403,A0A3Q9I9A4,Paenibacillus lutimineralis,[55-60)
430,A0A7X2L389,Paenibacillus monticola,[55-60)
397,A0A3G8R7A8,Paenibacillus sp.,[55-60)
462,A0A357M4B3,Paenibacillus sp.,[55-60)
457,A0A357M4B3,Paenibacillus sp.,[55-60)
243,A0A089IG88,Paenibacillus sp.,[55-60)
447,A5A6G0,Paenibacillus sp.,[55-60)
380,A0A2W1LR43,Paenibacillus sambharensis,[55-60)
384,A0A2W1LR43,Paenibacillus sambharensis,[55-60)
375,A0A2W1LR43,Paenibacillus sambharensis,[55-60)
455,A0A357M4B3,Paenibacillus sp.,[55-60)
39,A0A0S2S8N1,Paenibacillus sp.,[55-60)
242,A0A089I8I4,Paenibacillus sp.,[55-60)
258,A0A117T1J4,Paenibacillus sp.,[55-60)
446,A5A6G0,Paenibacillus sp.,[55-60)
32,O66065,Fibrobacter succinogenes,[55-60)
29,O66065,Fibrobacter succinogenes,[55-60)
30,O66065,Fibrobacter succinogenes,[55-60)
193,Q59232,Bacillus sp.,[55-60)
174,A0A7Y8V0X1,Bacillus sp.,[55-60)
172,A0A7G7U8F5,Bacillus sp.,[55-60)
182,A0A7Y8V0X1,Bacillus sp.,[55-60)
475,A0A649ZV21,Bacillus sp.,[55-60)
154,A0A6I7F9R8,Bacillus sp.,[55-60)
585,Q5B7U2,Emericella nidulans,[55-60)
91,P06565,Evansella cellulosilytica,[55-60)
89,P06565,Evansella cellulosilytica,[55-60)
83,P06565,Evansella cellulosilytica,[55-60)
97,P06566,Evansella cellulosilytica,[55-60)
86,P06565,Evansella cellulosilytica,[55-60)
100,P06566,Evansella cellulosilytica,[55-60)
99,P06566,Evansella cellulosilytica,[55-60)
90,P06565,Evansella cellulosilytica,[55-60)
84,P06565,Evansella cellulosilytica,[55-60)
85,P06565,Evansella cellulosilytica,[55-60)
94,P06566,Evansella cellulosilytica,[55-60)
95,P06566,Evansella cellulosilytica,[55-60)
166,A0A7G7U8F5,Bacillus sp.,[55-60)
150,A0A2M8T350,Bacillus sp.,[55-60)
33,O66065,Fibrobacter succinogenes,[55-60)
406,A0A4R2A013,Paenibacillus sp.,[55-60)
411,A0A5C8LQB2,Paenibacillus sp.,[55-60)
417,A0A5C8LQB2,Paenibacillus sp.,[55-60)
544,A0A5M3YSH4,Aspergillus terreus,[55-60)
416,A0A5C8LQB2,Paenibacillus sp.,[55-60)
412,A0A5C8LQB2,Paenibacillus sp.,[55-60)
366,A0A1S2F5X9,Paenibacillus sp.,[55-60)
42,A0A0S2S8N1,Paenibacillus sp.,[55-60)
27,A0A837XTL8,Bacillus atrophaeus,[55-60)
